timestamp,logger,category,event_type,command_text,mode,cycle,team,server_ip,server_port,latency_ms,duration_sec,status,response,message
2026-04-08 16:20:14.596,tcp_server:172.19.123.40:5000,other,generic,,shuffle,2,,,,,,,,OK latency injector stopped
2026-04-08 16:20:14.597,tcp_server:172.19.126.193:5000,other,generic,,shuffle,2,,,,,,,,OK latency injector stopped
2026-04-08 16:20:14.597,tcp_server:172.19.139.77:5000,other,generic,,shuffle,2,,,,,,,,OK latency injector stopped
2026-04-08 16:20:14.597,tcp_server:172.19.142.242:5000,other,generic,,shuffle,2,,,,,,,,OK latency injector stopped
2026-04-08 16:20:31.842,tcp_client,other,generic,,shuffle,2,,,,,,,,Connection lost: 172.19.126.193:5000 | receive loop ended: [Errno 104] Connection reset by peer
2026-04-08 16:20:31.842,tcp_client,other,generic,,shuffle,2,,,,,,,,Background reconnect will keep retrying every 20 seconds.
2026-04-08 16:21:01.873,tcp_client,other,generic,,shuffle,2,,,,,,,,Background reconnect failed for 172.19.126.193:5000: timed out
2026-04-08 16:21:29.496,tcp_client,command,user_command,quit,shuffle,2,,,,,,,,User command: quit
2026-04-08 16:21:29.500,tcp_client,command,quit_requested,,shuffle,2,,,,,,,,Quit requested by user.
2026-04-08 16:21:29.502,tcp_client,command,schedule_not_running,,shuffle,2,,,,,,,,Schedule is not running.
2026-04-08 16:21:29.535,tcp_client,other,generic,,shuffle,2,,,,,,,,Connection lost: 172.19.123.40:5000 | receive loop ended: socket closed by peer
2026-04-08 16:21:29.538,tcp_client,other,generic,,shuffle,2,,,,,,,,Background reconnect will keep retrying every 20 seconds.
2026-04-08 16:21:29.544,tcp_client,other,generic,,shuffle,2,,,,,,,,Connection lost: 172.19.142.242:5000 | receive loop ended: socket closed by peer
2026-04-08 16:21:29.544,tcp_client,other,generic,,shuffle,2,,,,,,,,Background reconnect will keep retrying every 20 seconds.
2026-04-08 16:21:29.556,tcp_client,other,generic,,shuffle,2,,,,,,,,Background reconnect failed for 172.19.123.40:5000: [Errno 111] Connection refused
2026-04-08 16:21:31.397,tcp_client,other,generic,,shuffle,2,,,,,,,,Connection lost: 172.19.139.77:5000 | receive loop ended: socket closed by peer
2026-04-08 16:21:31.397,tcp_client,other,generic,,shuffle,2,,,,,,,,Background reconnect will keep retrying every 20 seconds.
2026-04-08 16:21:31.404,tcp_server:172.19.123.40:5000,other,generic,,shuffle,2,,,,,,,,OK bye
2026-04-08 16:21:31.404,tcp_server:172.19.126.193:5000,other,generic,,shuffle,2,,,,,,,,SKIP disconnected (background reconnect active)
2026-04-08 16:21:31.404,tcp_server:172.19.139.77:5000,other,generic,,shuffle,2,,,,,,,,OK bye
2026-04-08 16:21:31.404,tcp_server:172.19.142.242:5000,other,generic,,shuffle,2,,,,,,,,OK bye
2026-04-08 16:21:31.425,tcp_client,session,process_exiting,,shuffle,2,,,,,,,,Process exiting.
